"principalnaicscode","principalnaicscodeText","principalNAICS2DigitCode","principalNAICS3DigitCode","principalNAICS4DigitCode","NAICS_shorthand","NAICS_unabbreviated","CriticalTech","FPDS_AnyTag","DeepTech","HighTech","Biotechnology","Quantum","FutureG","AdvMaterials","TrustedAI","SysOfSys","Microelectronics","Space","Renewable","Computing","HMI","DirectedEnergy","Hypersonics","SensorCyber","ComponentTech","ExIm_AnyTag","IsFormerCFIUScriticalTech","HighTechBLS"
921,"Executive, Legislative, and Other General Government Support","92","921","NULL","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
922,"Justice, Public Order, and Safety Activities","92","922","NULL","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
923,"Administration Of Human Resource Programs","92","923","NULL","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
924,"Administration Of Environmental Quality Programs","92","924","NULL","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
925,"Administration Of Housing Programs, Urban Planning, and Community Development","92","925","NULL","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
926,"Administration Of Economic Programs","92","926","NULL","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
927,"Space Research and Technology","92","927","NULL","NULL","NULL","Remaining Sectors",TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
928,"National Security and International Affairs","92","928","NULL","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
999,"Unclassified Establishments","99","999","NULL","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1111,"Oilseed and Grain Farming","11","111","1111","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1112,"Vegetable and Melon Farming","11","111","1112","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1113,"Fruit and Tree Nut Farming","11","111","1113","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1114,"Greenhouse, Nursery, and Floriculture Production","11","111","1114","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1119,"Other Crop Farming","11","111","1119","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1121,"Cattle Ranching and Farming","11","112","1121","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1122,"Hog and Pig Farming","11","112","1122","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1123,"Poultry and Egg Production","11","112","1123","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1124,"Sheep and Goat Farming","11","112","1124","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1125,"Aquaculture","11","112","1125","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1129,"Other Animal Production","11","112","1129","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1131,"Timber Tract Operations","11","113","1131","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
1132,"Forest Nurseries and Gathering of Forest Products","11","113","1132","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
1133,"Logging","11","113","1133","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1141,"Fishing","11","114","1141","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1142,"Hunting and Trapping","11","114","1142","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1151,"Support Activities for Crop Production","11","115","1151","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1152,"Support Activities for Animal Production","11","115","1152","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1153,"Support Activities for Forestry","11","115","1153","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2111,"Oil and Gas Extraction","21","211","2111","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
2121,"Coal Mining","21","212","2121","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2122,"Metal Ore Mining","21","212","2122","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2123,"Nonmetallic Mineral Mining and Quarrying","21","212","2123","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2131,"Support Activities for Mining","21","213","2131","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2211,"Electric Power Generation, Transmission and Distribution","22","221","2211","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
2212,"Natural Gas Distribution","22","221","2212","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2213,"Water, Sewage and Other Systems","22","221","2213","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2332,"Residential Building Construction","23","233","2332","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2333,"Nonresidential Building Construction","23","233","2333","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2349,"Other Heavy Construction","23","234","2349","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2356,"Roofing, Siding, and Sheet Metal Contractors","23","235","2356","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2358,"Water Well Drilling Contractors","23","235","2358","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2359,"Other Special Trade Contractors","23","235","2359","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2361,"Residential Building Construction","23","236","2361","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2362,"Nonresidential Building Construction","23","236","2362","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2371,"Utility System Construction","23","237","2371","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2372,"Land Subdivision","23","237","2372","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2373,"Highway, Street, and Bridge Construction","23","237","2373","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2379,"Other Heavy and Civil Engineering Construction","23","237","2379","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2381,"Foundation, Structure, and Building Exterior Contractors","23","238","2381","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2382,"Building Equipment Contractors","23","238","2382","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2383,"Building Finishing Contractors","23","238","2383","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
2389,"Other Specialty Trade Contractors","23","238","2389","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3111,"Animal Food Manufacturing","31-33","311","3111","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3112,"Grain and Oilseed Milling","31-33","311","3112","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3113,"Sugar and Confectionery Product Manufacturing","31-33","311","3113","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3114,"Fruit and Vegetable Preserving and Specialty Food Manufacturing","31-33","311","3114","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3115,"Dairy Product Manufacturing","31-33","311","3115","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3116,"Animal Slaughtering and Processing","31-33","311","3116","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3117,"Seafood Product Preparation and Packaging","31-33","311","3117","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3118,"Bakeries and Tortilla Manufacturing","31-33","311","3118","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3119,"Other Food Manufacturing","31-33","311","3119","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3121,"Beverage Manufacturing","31-33","312","3121","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3122,"Tobacco Manufacturing","31-33","312","3122","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3131,"Fiber, Yarn, and Thread Mills","31-33","313","3131","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3132,"Fabric Mills","31-33","313","3132","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3133,"Textile and Fabric Finishing and Fabric Coating Mills","31-33","313","3133","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3141,"Textile Furnishings Mills","31-33","314","3141","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3149,"Other Textile Product Mills","31-33","314","3149","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3151,"Apparel Knitting Mills","31-33","315","3151","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3152,"Cut and Sew Apparel Manufacturing","31-33","315","3152","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3159,"Apparel Accessories and Other Apparel Manufacturing","31-33","315","3159","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3161,"Leather and Hide Tanning and Finishing","31-33","316","3161","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3162,"Footwear Manufacturing","31-33","316","3162","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3169,"Other Leather and Allied Product Manufacturing","31-33","316","3169","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3211,"Sawmills and Wood Preservation","31-33","321","3211","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing","31-33","321","3212","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3219,"Other Wood Product Manufacturing","31-33","321","3219","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3221,"Pulp, Paper, and Paperboard Mills","31-33","322","3221","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3222,"Converted Paper Product Manufacturing","31-33","322","3222","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3231,"Printing and Related Support Activities","31-33","323","3231","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3241,"Petroleum and Coal Products Manufacturing","31-33","324","3241","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
3251,"Basic Chemical Manufacturing","31-33","325","3251","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
3252,"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing","31-33","325","3252","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing","31-33","325","3253","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
3254,"Pharmaceutical and Medicine Manufacturing","31-33","325","3254","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
3255,"Paint, Coating, and Adhesive Manufacturing","31-33","325","3255","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing","31-33","325","3256","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3259,"Other Chemical Product and Preparation Manufacturing","31-33","325","3259","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
3261,"Plastics Product Manufacturing","31-33","326","3261","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3262,"Rubber Product Manufacturing","31-33","326","3262","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3271,"Clay Product and Refractory Manufacturing","31-33","327","3271","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3272,"Glass and Glass Product Manufacturing","31-33","327","3272","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3273,"Cement and Concrete Product Manufacturing","31-33","327","3273","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3274,"Lime and Gypsum Product Manufacturing","31-33","327","3274","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3279,"Other Nonmetallic Mineral Product Manufacturing","31-33","327","3279","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3311,"Iron and Steel Mills and Ferroalloy Manufacturing","31-33","331","3311","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3312,"Steel Product Manufacturing from Purchased Steel","31-33","331","3312","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3313,"Alumina and Aluminum Production and Processing","31-33","331","3313","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3314,"Nonferrous Metal (except Aluminum) Production and Processing","31-33","331","3314","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3315,"Foundries","31-33","331","3315","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3321,"Forging and Stamping","31-33","332","3321","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3322,"Cutlery and Handtool Manufacturing","31-33","332","3322","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3323,"Architectural and Structural Metals Manufacturing","31-33","332","3323","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3324,"Boiler, Tank, and Shipping Container Manufacturing","31-33","332","3324","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3325,"Hardware Manufacturing","31-33","332","3325","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3326,"Spring and Wire Product Manufacturing","31-33","332","3326","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing","31-33","332","3327","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3328,"Coating, Engraving, Heat Treating, and Allied Activities","31-33","332","3328","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3329,"Other Fabricated Metal Product Manufacturing","31-33","332","3329","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3331,"Agriculture, Construction, and Mining Machinery Manufacturing","31-33","333","3331","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3332,"Industrial Machinery Manufacturing","31-33","333","3332","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
3333,"Commercial and Service Industry Machinery Manufacturing","31-33","333","3333","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","31-33","333","3334","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3335,"Metalworking Machinery Manufacturing","31-33","333","3335","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing","31-33","333","3336","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
3339,"Other General Purpose Machinery Manufacturing","31-33","333","3339","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-III Industry"
3341,"Computer and Peripheral Equipment Manufacturing","31-33","334","3341","NULL","NULL","Computing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
3342,"Communications Equipment Manufacturing","31-33","334","3342","NULL","NULL","Modern Telecom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
3343,"Audio and Video Equipment Manufacturing","31-33","334","3343","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
3344,"Semiconductor and Other Electronic Component Manufacturing","31-33","334","3344","NULL","NULL","Microelectronics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","31-33","334","3345","NULL","NULL","High Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-I Industry"
3346,"Manufacturing and Reproducing Magnetic and Optical Media","31-33","334","3346","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Level-II Industry"
3351,"Electric Lighting Equipment Manufacturing","31-33","335","3351","NULL","NULL","Remaining Sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
