,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,424,424950,"Paint, Varnish, and Supplies Merchant Wholesalers",424950,"Paint, Varnish, and Supplies Merchant Wholesalers",,,,,,,,,,,,,424,424710,Petroleum Bulk Stations and Terminals,424710,Petroleum Bulk Stations and Terminals,,,,,421,421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,424,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,,,,,,,,,,,,,424,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),,,,,421,421450,"Medical, Dental, and Hospital Equipment and Supplies Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,425,425110,Business to Business Electronic Markets,425110,Business to Business Electronic Markets,,,,,,,,,,,,,424,424810,Beer and Ale Merchant Wholesalers,424810,Beer and Ale Merchant Wholesalers,,,,,421,421460,Ophthalmic Goods Wholesalers,423460,Ophthalmic Goods Merchant  Wholesalers,Merchant Wholesalers
,,,,,,,,425,425120,Wholesale Trade Agents and Brokers,425120,Wholesale Trade Agents and Brokers,,,,,,,,,,,,,424,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,,,,,421,421460,Ophthalmic Goods Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,441,441110,New Car Dealers,441110,New Car Dealers,,,,,,,,,,,,,424,424910,Farm Supplies Merchant Wholesalers,424910,Farm Supplies Merchant Wholesalers,,,,,421,421460,Ophthalmic Goods Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,441,441120,Used Car Dealers,441120,Used Car Dealers,,,,,,,,,,,,,424,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,,,,421,421490,Other Professional Equipment and Supplies Wholesalers,423490,Other Professional Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,441,441210,Recreational Vehicle Dealers,441210,Recreational Vehicle Dealers,,,,,,,,,,,,,424,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",,,,,421,421490,Other Professional Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,441,441221,"Motorcycle, ATV, and Personal Watercraft Dealers",441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",,,,,,,,,,,,,424,424940,Tobacco and Tobacco Product Merchant Wholesalers,424940,Tobacco and Tobacco Product Merchant Wholesalers,,,,,421,421490,Other Professional Equipment and Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,441,441222,Boat Dealers,441222,Boat Dealers,,,,,,,,,,,,,424,424950,"Paint, Varnish, and Supplies Merchant Wholesalers",424950,"Paint, Varnish, and Supplies Merchant Wholesalers",,,,,421,421510,Metal Service Centers and Offices,423510,Metal Service Centers and Other Metal Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,441,441229,All Other Motor Vehicle Dealers,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",,,,,,,,,,,,,424,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,,,,,421,421510,Metal Service Centers and Offices,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,441,441310,Automotive Parts and Accessories Stores,441310,Automotive Parts and Accessories Stores,,,,,,,,,,,,,425,425110,Business to Business Electronic Markets,425110,Business to Business Electronic Markets,,,,,421,421510,Metal Service Centers and Offices,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,441,441320,Tire Dealers,441320,Tire Dealers,,,,,,,,,,,,,425,425120,Wholesale Trade Agents and Brokers,425120,Wholesale Trade Agents and Brokers,,,,,421,421520,Coal and Other Mineral and Ore Wholesalers,423520,Coal and Other Mineral and Ore Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,442,442110,Furniture Stores,442110,Furniture Stores,,,,,,,,,,,,,441,441110,New Car Dealers,441110,New Car Dealers,,,,,421,421520,Coal and Other Mineral and Ore Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,442,442210,Floor Covering Stores,442210,Floor Covering Stores,,,,,,,,,,,,,441,441120,Used Car Dealers,441120,Used Car Dealers,,,,,421,421520,Coal and Other Mineral and Ore Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,442,442291,Window Treatment Stores,442291,Window Treatment Stores,,,,,,,,,,,,,441,441210,Recreational Vehicle Dealers,441210,Recreational Vehicle Dealers,,,,,421,421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Merchant Wholesalers
,,,,,,,,442,442299,All Other Home Furnishings Stores,442299,All Other Home Furnishings Stores,,,,,,,,,,,,,441,441221,Motorcycle Dealers,441221,"Motorcycle, ATV, and Personal Watercraft Dealers",,,,,421,421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,443,443111,Household Appliance Stores,443141,Household Appliance Stores,,,,,,,,,,,,,441,441222,Boat Dealers,441222,Boat Dealers,,,,,421,421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,443,443112,"Radio, Television, and Other Electronics Stores",443142,Electronics Stores,,,,,,,,,,,,,441,441229,All Other Motor Vehicle Dealers,441229,All Other Motor Vehicle Dealers,,,,,421,421620,"Electrical Appliance, Television, and Radio Set Wholesalers",423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers",Merchant Wholesalers
,,,,,,,,443,443120,Computer and Software Stores,443142,Electronics Stores,,,,,,,,,,,,,441,441310,Automotive Parts and Accessories Stores,441310,Automotive Parts and Accessories Stores,,,,,421,421620,"Electrical Appliance, Television, and Radio Set Wholesalers",425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,443,443130,Camera and Photographic Supplies Stores,443142,Electronics Stores,,,,,,,,,,,,,441,441320,Tire Dealers,441320,Tire Dealers,,,,,421,421620,"Electrical Appliance, Television, and Radio Set Wholesalers",425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,444,444110,Home Centers,444110,Home Centers,,,,,,,,,,,,,442,442110,Furniture Stores,442110,Furniture Stores,,,,,421,421690,Other Electronic Parts and Equipment Wholesalers,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,444,444120,Paint and Wallpaper Stores,444120,Paint and Wallpaper Stores,,,,,,,,,,,,,442,442210,Floor Covering Stores,442210,Floor Covering Stores,,,,,421,421690,Other Electronic Parts and Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,444,444130,Hardware Stores,444130,Hardware Stores,,,,,,,,,,,,,442,442291,Window Treatment Stores,442291,Window Treatment Stores,,,,,421,421690,Other Electronic Parts and Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,444,444190,Other Building Material Dealers,444190,Other Building Material Dealers,,,,,,,,,,,,,442,442299,All Other Home Furnishings Stores,442299,All Other Home Furnishings Stores,,,,,421,421710,Hardware Wholesalers,423710,Hardware Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,444,444210,Outdoor Power Equipment Stores,444210,Outdoor Power Equipment Stores,,,,,,,,,,,,,443,443111,Household Appliance Stores,443111,Household Appliance Stores,,,,,421,421710,Hardware Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,444,444220,"Nursery, Garden Center, and Farm Supply Stores",444220,"Nursery, Garden Center, and Farm Supply Stores",,,,,,,,,,,,,443,443112,"Radio, Television, and Other Electronics Stores",443112,"Radio, Television, and Other Electronics Stores",,,,,421,421710,Hardware Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,445,445110,Supermarkets and Other Grocery (except Convenience) Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,,,,,,,,,,,,,443,443120,Computer and Software Stores,443120,Computer and Software Stores,,,,,421,421720,Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,445,445120,Convenience Stores,445120,Convenience Stores,,,,,,,,,,,,,443,443130,Camera and Photographic Supplies Stores,443130,Camera and Photographic Supplies Stores,,,,,421,421720,Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,445,445210,Meat Markets,445210,Meat Markets,,,,,,,,,,,,,444,444110,Home Centers,444110,Home Centers,,,,,421,421720,Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,445,445220,Fish and Seafood Markets,445220,Fish and Seafood Markets,,,,,,,,,,,,,444,444120,Paint and Wallpaper Stores,444120,Paint and Wallpaper Stores,,,,,421,421730,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,445,445230,Fruit and Vegetable Markets,445230,Fruit and Vegetable Markets,,,,,,,,,,,,,444,444130,Hardware Stores,444130,Hardware Stores,,,,,421,421730,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,445,445291,Baked Goods Stores,445291,Baked Goods Stores,,,,,,,,,,,,,444,444190,Other Building Material Dealers,444190,Other Building Material Dealers,,,,,421,421730,Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,445,445292,Confectionery and Nut Stores,445292,Confectionery and Nut Stores,,,,,,,,,,,,,444,444210,Outdoor Power Equipment Stores,444210,Outdoor Power Equipment Stores,,,,,421,421740,Refrigeration Equipment and Supplies Wholesalers,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,445,445299,All Other Specialty Food Stores,445299,All Other Specialty Food Stores,,,,,,,,,,,,,444,444220,"Nursery, Garden Center, and Farm Supply Stores",444220,"Nursery, Garden Center, and Farm Supply Stores",,,,,421,421740,Refrigeration Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,445,445310,"Beer, Wine, and Liquor Stores",445310,"Beer, Wine, and Liquor Stores",,,,,,,,,,,,,445,445110,Supermarkets and Other Grocery (except Convenience) Stores,445110,Supermarkets and Other Grocery (except Convenience) Stores,,,,,421,421740,Refrigeration Equipment and Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,446,446110,Pharmacies and Drug Stores,446110,Pharmacies and Drug Stores,,,,,,,,,,,,,445,445120,Convenience Stores,445120,Convenience Stores,,,,,421,421810,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,446,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,"Cosmetics, Beauty Supplies, and Perfume Stores",,,,,,,,,,,,,445,445210,Meat Markets,445210,Meat Markets,,,,,421,421810,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,446,446130,Optical Goods Stores,446130,Optical Goods Stores,,,,,,,,,,,,,445,445220,Fish and Seafood Markets,445220,Fish and Seafood Markets,,,,,421,421810,Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,446,446191,Food (Health) Supplement Stores,446191,Food (Health) Supplement Stores,,,,,,,,,,,,,445,445230,Fruit and Vegetable Markets,445230,Fruit and Vegetable Markets,,,,,421,421820,Farm and Garden Machinery and Equipment Wholesalers,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,446,446199,All Other Health and Personal Care Stores,446199,All Other Health and Personal Care Stores,,,,,,,,,,,,,445,445291,Baked Goods Stores,445291,Baked Goods Stores,,,,,421,421820,Farm and Garden Machinery and Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,447,447110,Gasoline Stations with Convenience Stores,447110,Gasoline Stations with Convenience Stores,,,,,,,,,,,,,445,445292,Confectionery and Nut Stores,445292,Confectionery and Nut Stores,,,,,421,421820,Farm and Garden Machinery and Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,447,447190,Other Gasoline Stations,447190,Other Gasoline Stations,,,,,,,,,,,,,445,445299,All Other Specialty Food Stores,445299,All Other Specialty Food Stores,,,,,421,421830,Industrial Machinery and Equipment Wholesalers,423830,Industrial Machinery and Equipment Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,448,448110,Men's Clothing Stores,448110,Men's Clothing Stores,,,,,,,,,,,,,445,445310,"Beer, Wine, and Liquor Stores",445310,"Beer, Wine, and Liquor Stores",,,,,421,421830,Industrial Machinery and Equipment Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,448,448120,Women's Clothing Stores,448120,Women's Clothing Stores,,,,,,,,,,,,,446,446110,Pharmacies and Drug Stores,446110,Pharmacies and Drug Stores,,,,,421,421830,Industrial Machinery and Equipment Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,448,448130,Children's and Infants' Clothing Stores,448130,Children's and Infants' Clothing Stores,,,,,,,,,,,,,446,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,"Cosmetics, Beauty Supplies, and Perfume Stores",,,,,421,421840,Industrial Supplies Wholesalers,423840,Industrial Supplies Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,448,448140,Family Clothing Stores,448140,Family Clothing Stores,,,,,,,,,,,,,446,446130,Optical Goods Stores,446130,Optical Goods Stores,,,,,421,421840,Industrial Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
,,,,,,,,448,448150,Clothing Accessories Stores,448150,Clothing Accessories Stores,,,,,,,,,,,,,446,446191,Food (Health) Supplement Stores,446191,Food (Health) Supplement Stores,,,,,421,421840,Industrial Supplies Wholesalers,425120,Wholesale Trade Agents and Brokers (pt),Agents and Brokers
,,,,,,,,448,448190,Other Clothing Stores,448190,Other Clothing Stores,,,,,,,,,,,,,446,446199,All Other Health and Personal Care Stores,446199,All Other Health and Personal Care Stores,,,,,421,421850,Service Establishment Equipment and Supplies Wholesalers,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,Merchant Wholesalers
,,,,,,,,448,448210,Shoe Stores,448210,Shoe Stores,,,,,,,,,,,,,447,447110,Gasoline Stations with Convenience Stores,447110,Gasoline Stations with Convenience Stores,,,,,421,421850,Service Establishment Equipment and Supplies Wholesalers,425110,Business to Business Electronic Markets (pt),Business to Business Electronic Markets
